Rent,Size,BHK,Bathroom,Furnishing Status,City
10000,1100,2,2,Unfurnished,Kolkata
20000,800,2,1,Semi-Furnished,Kolkata
17000,1000,2,1,Semi-Furnished,Kolkata
10000,800,2,1,Unfurnished,Kolkata
7500,850,2,1,Unfurnished,Kolkata
7000,600,2,2,Unfurnished,Kolkata
10000,700,2,2,Unfurnished,Kolkata
5000,250,1,1,Unfurnished,Kolkata
26000,800,2,2,Unfurnished,Kolkata
10000,1000,2,2,Semi-Furnished,Kolkata
25000,1200,3,2,Semi-Furnished,Kolkata
5000,400,1,1,Unfurnished,Kolkata
6500,250,1,1,Furnished,Kolkata
5500,375,1,1,Unfurnished,Kolkata
8500,900,3,2,Unfurnished,Kolkata
40000,1286,3,2,Furnished,Kolkata
6000,600,2,1,Semi-Furnished,Kolkata
10000,800,2,1,Unfurnished,Kolkata
11000,2000,2,1,Unfurnished,Kolkata
6000,660,2,1,Unfurnished,Kolkata
7900,650,2,1,Unfurnished,Kolkata
9000,400,2,2,Unfurnished,Kolkata
4000,300,1,1,Unfurnished,Kolkata
6500,1600,3,1,Unfurnished,Kolkata
8000,400,1,1,Semi-Furnished,Kolkata
7000,1000,2,1,Unfurnished,Kolkata
5300,355,1,1,Semi-Furnished,Kolkata
6000,1000,2,1,Semi-Furnished,Kolkata
8500,800,2,1,Unfurnished,Kolkata
12500,850,2,2,Unfurnished,Kolkata
7500,350,1,1,Unfurnished,Kolkata
15000,900,2,2,Unfurnished,Kolkata
6000,550,2,1,Semi-Furnished,Kolkata
5000,500,2,2,Unfurnished,Kolkata
22000,1100,3,1,Unfurnished,Kolkata
15000,850,2,1,Semi-Furnished,Kolkata
12500,800,2,1,Unfurnished,Kolkata
7000,630,2,1,Unfurnished,Kolkata
21000,900,2,2,Semi-Furnished,Kolkata
10000,270,1,1,Semi-Furnished,Kolkata
7200,630,2,1,Semi-Furnished,Kolkata
12000,1500,3,2,Furnished,Kolkata
5000,600,1,1,Unfurnished,Kolkata
8500,700,2,1,Semi-Furnished,Kolkata
6000,300,1,1,Semi-Furnished,Kolkata
10000,1300,2,2,Semi-Furnished,Kolkata
4600,400,2,1,Semi-Furnished,Kolkata
12000,650,2,2,Unfurnished,Kolkata
30000,2000,3,2,Semi-Furnished,Kolkata
15000,1068,3,2,Semi-Furnished,Kolkata
7500,150,1,1,Furnished,Kolkata
7500,450,1,1,Unfurnished,Kolkata
5000,800,2,1,Unfurnished,Kolkata
15000,1000,2,2,Unfurnished,Kolkata
11000,900,2,1,Semi-Furnished,Kolkata
7000,600,1,1,Unfurnished,Kolkata
6000,1200,2,1,Unfurnished,Kolkata
6000,1200,2,2,Semi-Furnished,Kolkata
7000,650,2,2,Semi-Furnished,Kolkata
8500,720,2,2,Semi-Furnished,Kolkata
5000,300,1,1,Unfurnished,Kolkata
30000,1200,3,3,Unfurnished,Kolkata
