Rent,Size,BHK,Bathroom,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai
10000,1100,2,2,False,False,True,False,False,False,False,True,False
20000,800,2,1,False,True,False,False,False,False,False,True,False
17000,1000,2,1,False,True,False,False,False,False,False,True,False
10000,800,2,1,False,False,True,False,False,False,False,True,False
7500,850,2,1,False,False,True,False,False,False,False,True,False
7000,600,2,2,False,False,True,False,False,False,False,True,False
10000,700,2,2,False,False,True,False,False,False,False,True,False
5000,250,1,1,False,False,True,False,False,False,False,True,False
26000,800,2,2,False,False,True,False,False,False,False,True,False
10000,1000,2,2,False,True,False,False,False,False,False,True,False
25000,1200,3,2,False,True,False,False,False,False,False,True,False
5000,400,1,1,False,False,True,False,False,False,False,True,False
6500,250,1,1,True,False,False,False,False,False,False,True,False
5500,375,1,1,False,False,True,False,False,False,False,True,False
8500,900,3,2,False,False,True,False,False,False,False,True,False
40000,1286,3,2,True,False,False,False,False,False,False,True,False
6000,600,2,1,False,True,False,False,False,False,False,True,False
10000,800,2,1,False,False,True,False,False,False,False,True,False
11000,2000,2,1,False,False,True,False,False,False,False,True,False
6000,660,2,1,False,False,True,False,False,False,False,True,False
7900,650,2,1,False,False,True,False,False,False,False,True,False
9000,400,2,2,False,False,True,False,False,False,False,True,False
4000,300,1,1,False,False,True,False,False,False,False,True,False
6500,1600,3,1,False,False,True,False,False,False,False,True,False
8000,400,1,1,False,True,False,False,False,False,False,True,False
7000,1000,2,1,False,False,True,False,False,False,False,True,False
5300,355,1,1,False,True,False,False,False,False,False,True,False
6000,1000,2,1,False,True,False,False,False,False,False,True,False
8500,800,2,1,False,False,True,False,False,False,False,True,False
12500,850,2,2,False,False,True,False,False,False,False,True,False
7500,350,1,1,False,False,True,False,False,False,False,True,False
15000,900,2,2,False,False,True,False,False,False,False,True,False
6000,550,2,1,False,True,False,False,False,False,False,True,False
5000,500,2,2,False,False,True,False,False,False,False,True,False
22000,1100,3,1,False,False,True,False,False,False,False,True,False
15000,850,2,1,False,True,False,False,False,False,False,True,False
12500,800,2,1,False,False,True,False,False,False,False,True,False
7000,630,2,1,False,False,True,False,False,False,False,True,False
21000,900,2,2,False,True,False,False,False,False,False,True,False
10000,270,1,1,False,True,False,False,False,False,False,True,False
7200,630,2,1,False,True,False,False,False,False,False,True,False
12000,1500,3,2,True,False,False,False,False,False,False,True,False
5000,600,1,1,False,False,True,False,False,False,False,True,False
8500,700,2,1,False,True,False,False,False,False,False,True,False
6000,300,1,1,False,True,False,False,False,False,False,True,False
10000,1300,2,2,False,True,False,False,False,False,False,True,False
4600,400,2,1,False,True,False,False,False,False,False,True,False
12000,650,2,2,False,False,True,False,False,False,False,True,False
30000,2000,3,2,False,True,False,False,False,False,False,True,False
15000,1068,3,2,False,True,False,False,False,False,False,True,False
7500,150,1,1,True,False,False,False,False,False,False,True,False
7500,450,1,1,False,False,True,False,False,False,False,True,False
5000,800,2,1,False,False,True,False,False,False,False,True,False
15000,1000,2,2,False,False,True,False,False,False,False,True,False
11000,900,2,1,False,True,False,False,False,False,False,True,False
7000,600,1,1,False,False,True,False,False,False,False,True,False
6000,1200,2,1,False,False,True,False,False,False,False,True,False
6000,1200,2,2,False,True,False,False,False,False,False,True,False
7000,650,2,2,False,True,False,False,False,False,False,True,False
8500,720,2,2,False,True,False,False,False,False,False,True,False
5000,300,1,1,False,False,True,False,False,False,False,True,False
30000,1200,3,3,False,False,True,False,False,False,False,True,False
10000,700,2,2,False,False,True,False,False,False,False,True,False
30000,2000,3,2,False,True,False,False,False,False,False,True,False
3500,250,1,1,False,True,False,False,False,False,False,True,False
8000,1100,2,1,False,False,True,False,False,False,False,True,False
5000,300,1,1,False,False,True,False,False,False,False,True,False
7500,600,2,1,False,True,False,False,False,False,False,True,False
6500,800,2,1,False,False,True,False,False,False,False,True,False
7500,680,1,1,False,False,True,False,False,False,False,True,False
7500,680,1,1,False,False,True,False,False,False,False,True,False
16000,850,2,1,False,True,False,False,False,False,False,True,False
16000,850,2,1,False,True,False,False,False,False,False,True,False
6500,700,2,1,False,False,True,False,False,False,False,True,False
40000,1500,3,2,False,False,True,False,False,False,False,True,False
12500,950,2,2,False,True,False,False,False,False,False,True,False
5500,500,2,1,False,False,True,False,False,False,False,True,False
5000,450,1,1,False,True,False,False,False,False,False,True,False
6500,700,2,1,False,False,True,False,False,False,False,True,False
8000,500,1,1,False,False,True,False,False,False,False,True,False
14500,1800,3,2,False,True,False,False,False,False,False,True,False
8200,500,1,1,False,True,False,False,False,False,False,True,False
15000,480,2,2,True,False,False,False,False,False,False,True,False
20000,1000,6,2,False,True,False,False,False,False,False,True,False
6700,800,2,1,True,False,False,False,False,False,False,True,False
10000,435,1,1,False,False,True,False,False,False,False,True,False
7000,700,2,2,False,True,False,False,False,False,False,True,False
22000,800,2,1,True,False,False,False,False,False,False,True,False
6500,450,2,1,False,False,True,False,False,False,False,True,False
8500,550,2,1,False,True,False,False,False,False,False,True,False
18000,800,2,2,False,False,True,False,False,False,False,True,False
12000,550,2,2,False,True,False,False,False,False,False,True,False
9000,600,1,1,True,False,False,False,False,False,False,True,False
6000,500,1,1,False,False,True,False,False,False,False,True,False
20000,1000,2,2,True,False,False,False,False,False,False,True,False
5000,300,1,1,False,False,True,False,False,False,False,True,False
12000,1200,2,2,True,False,False,False,False,False,False,True,False
10000,500,2,1,False,True,False,False,False,False,False,True,False
18000,1200,4,2,False,False,True,False,False,False,False,True,False
15000,900,2,2,False,True,False,False,False,False,False,True,False
22000,1300,3,3,False,False,True,False,False,False,False,True,False
35000,1600,4,3,False,False,True,False,False,False,False,True,False
21000,1450,3,2,False,False,True,False,False,False,False,True,False
25000,1100,2,2,True,False,False,False,False,False,False,True,False
180000,950,2,2,False,False,True,False,False,False,False,True,False
6000,600,1,1,False,False,True,False,False,False,False,True,False
14000,700,2,2,False,False,True,False,False,False,False,True,False
8000,750,3,1,False,False,True,False,False,False,False,True,False
8000,1000,2,1,False,False,True,False,False,False,False,True,False
6000,220,1,1,True,False,False,False,False,False,False,True,False
8000,300,1,1,False,True,False,False,False,False,False,True,False
6000,300,1,1,False,False,True,False,False,False,False,True,False
20000,700,1,1,False,True,False,False,False,False,False,True,False
12000,800,3,2,False,False,True,False,False,False,False,True,False
15000,1600,3,2,False,False,True,False,False,False,False,True,False
14000,1000,2,2,False,False,True,False,False,False,False,True,False
5000,20,1,1,False,False,True,False,False,False,False,True,False
7000,400,2,1,False,False,True,False,False,False,False,True,False
3900,200,1,1,True,False,False,False,False,False,False,True,False
14000,840,3,2,False,False,True,False,False,False,False,True,False
6300,300,1,1,False,False,True,False,False,False,False,True,False
13000,550,2,2,True,False,False,False,False,False,False,True,False
6800,300,1,1,False,False,True,False,False,False,False,True,False
8000,800,2,2,False,False,True,False,False,False,False,True,False
10000,740,2,1,False,False,True,False,False,False,False,True,False
18000,1300,2,2,False,False,True,False,False,False,False,True,False
8000,650,2,1,False,True,False,False,False,False,False,True,False
8000,490,2,1,False,True,False,False,False,False,False,True,False
4700,250,1,1,True,False,False,False,False,False,False,True,False
4700,250,1,1,True,False,False,False,False,False,False,True,False
4500,450,1,1,False,False,True,False,False,False,False,True,False
6000,300,1,1,False,True,False,False,False,False,False,True,False
16000,750,2,2,False,False,True,False,False,False,False,True,False
4700,250,1,1,True,False,False,False,False,False,False,True,False
14000,751,2,1,False,False,True,False,False,False,False,True,False
9000,900,2,1,False,True,False,False,False,False,False,True,False
5000,400,2,1,False,True,False,False,False,False,False,True,False
17500,1000,2,2,False,True,False,False,False,False,False,True,False
8500,1000,2,1,False,False,True,False,False,False,False,True,False
15000,1500,3,2,False,True,False,False,False,False,False,True,False
12500,750,2,2,False,False,True,False,False,False,False,True,False
13000,1200,1,1,False,True,False,False,False,False,False,True,False
8000,700,2,1,False,False,True,False,False,False,False,True,False
8000,700,2,1,True,False,False,False,False,False,False,True,False
8000,1000,2,1,False,True,False,False,False,False,False,True,False
7000,1200,2,2,False,False,True,False,False,False,False,True,False
2200,550,2,1,True,False,False,False,False,False,False,True,False
8000,800,2,1,False,False,True,False,False,False,False,True,False
5500,280,2,1,False,False,True,False,False,False,False,True,False
20000,1100,3,3,False,False,True,False,False,False,False,True,False
7000,950,2,1,False,False,True,False,False,False,False,True,False
3500,250,1,1,True,False,False,False,False,False,False,True,False
5000,1000,2,1,False,False,True,False,False,False,False,True,False
20000,1000,3,2,False,True,False,False,False,False,False,True,False
7000,650,2,1,False,False,True,False,False,False,False,True,False
10000,700,2,2,False,False,True,False,False,False,False,True,False
7000,700,2,1,False,False,True,False,False,False,False,True,False
12000,1000,3,2,False,True,False,False,False,False,False,True,False
14500,900,2,2,False,False,True,False,False,False,False,True,False
6000,700,1,1,False,False,True,False,False,False,False,True,False
9500,700,2,2,False,False,True,False,False,False,False,True,False
10000,450,2,2,False,True,False,False,False,False,False,True,False
3500,120,1,1,False,False,True,False,False,False,False,True,False
9000,800,2,2,False,True,False,False,False,False,False,True,False
40000,1220,3,2,False,False,True,False,False,False,False,True,False
16500,1100,3,1,False,False,True,False,False,False,False,True,False
8000,700,3,2,False,False,True,False,False,False,False,True,False
12000,800,2,1,True,False,False,False,False,False,False,True,False
6500,670,2,1,False,False,True,False,False,False,False,True,False
40000,1300,4,3,False,False,True,False,False,False,False,True,False
5000,190,1,1,False,True,False,False,False,False,False,True,False
9000,700,2,1,False,True,False,False,False,False,False,True,False
7000,240,1,1,False,False,True,False,False,False,False,True,False
18000,850,2,1,False,True,False,False,False,False,False,True,False
9000,950,1,2,False,False,True,False,False,False,False,True,False
5500,450,1,1,True,False,False,False,False,False,False,True,False
7500,800,2,1,False,False,True,False,False,False,False,True,False
4000,600,2,1,False,False,True,False,False,False,False,True,False
10500,800,3,2,False,False,True,False,False,False,False,True,False
15000,1100,3,2,False,False,True,False,False,False,False,True,False
15000,800,2,1,True,False,False,False,False,False,False,True,False
50000,2200,1,3,True,False,False,False,False,False,False,True,False
12000,950,2,2,False,False,True,False,False,False,False,True,False
11000,550,2,1,False,False,True,False,False,False,False,True,False
12000,1800,2,2,False,False,True,False,False,False,False,True,False
8000,1000,2,1,True,False,False,False,False,False,False,True,False
18000,600,2,2,False,True,False,False,False,False,False,True,False
8000,750,2,2,False,True,False,False,False,False,False,True,False
7000,685,2,1,False,False,True,False,False,False,False,True,False
6500,44,1,1,True,False,False,False,False,False,False,True,False
13000,1200,4,1,False,False,True,False,False,False,False,True,False
9000,500,2,1,False,False,True,False,False,False,False,True,False
10000,1110,4,2,False,False,True,False,False,False,False,True,False
12000,1000,2,2,False,False,True,False,False,False,False,True,False
5000,392,2,1,False,False,True,False,False,False,False,True,False
6000,700,2,1,False,False,True,False,False,False,False,True,False
5200,750,1,1,False,False,True,False,False,False,False,True,False
15000,1500,3,2,False,False,True,False,False,False,False,True,False
9000,900,2,2,False,False,True,False,False,False,False,True,False
24000,710,1,1,True,False,False,False,False,False,False,True,False
5500,400,1,1,False,False,True,False,False,False,False,True,False
10000,700,1,1,False,False,True,False,False,False,False,True,False
15000,1000,2,1,False,True,False,False,False,False,False,True,False
4700,250,1,1,True,False,False,False,False,False,False,True,False
5000,500,1,1,False,True,False,False,False,False,False,True,False
5000,450,2,1,False,True,False,False,False,False,False,True,False
15000,1400,3,1,False,False,True,False,False,False,False,True,False
5000,500,1,1,False,True,False,False,False,False,False,True,False
6000,700,2,1,False,False,True,False,False,False,False,True,False
18000,1200,3,1,False,True,False,False,False,False,False,True,False
8000,450,2,1,False,False,True,False,False,False,False,True,False
13000,500,1,1,True,False,False,False,False,False,False,True,False
7500,400,2,1,False,False,True,False,False,False,False,True,False
12000,1000,3,2,False,False,True,False,False,False,False,True,False
11000,750,2,1,False,False,True,False,False,False,False,True,False
6000,450,1,1,False,False,True,False,False,False,False,True,False
20000,1000,3,2,False,False,True,False,False,False,False,True,False
7000,500,2,2,False,False,True,False,False,False,False,True,False
30000,1600,4,2,False,False,True,False,False,False,False,True,False
7500,550,2,1,False,False,True,False,False,False,False,True,False
6500,550,1,2,False,False,True,False,False,False,False,True,False
3000,200,1,1,False,False,True,False,False,False,False,True,False
5200,650,2,1,False,False,True,False,False,False,False,True,False
25000,1000,2,2,True,False,False,False,False,False,False,True,False
12500,680,2,2,False,False,True,False,False,False,False,True,False
8500,720,2,2,False,False,True,False,False,False,False,True,False
3500,500,2,1,False,False,True,False,False,False,False,True,False
7000,800,2,1,False,False,True,False,False,False,False,True,False
